Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
ACTA1,58,TMSB4X,7114,0.951
BAK1,578,TP53,7157,0.902
RELA,5970,TSC22D3,1831,0.966
GZMB,3002,DFFA,1676,0.967
HDAC2,3066,YY1,7528,0.823
CSNK2A1,1457,NOLC1,9221,0.743
NPY5R,4889,NPY,4852,0.997
GHR,2690,PTPN2,5771,0.982
ESR1,2099,JUN,3725,0.966
ZNF417,147687,CCDC85B,11007,0.707
EEF1G,1937,GADD45A,1647,0.901
MCF2L,23263,JTV1,7965,0.951
LMNA,4000,RB1,5925,0.984
SYT17,51760,APTX,54840,0.667
EGFR,1956,EPS15,2060,0.951
EPHA2,1969,EGFR,1956,0.998
DLG3,1741,GRIN2B,2904,0.994
MINK1,50488,CALM3,808,0.951
CSNK2A2,1459,CTDP1,9150,0.743
LRP3,4037,GGA1,26088,0.979
MYO15B,80022,TRIM29,23650,0.926
RARA,5914,NCOA3,8202,0.966
CCBP2,1238,CCL4,6351,0.994
PPARG,5468,HDAC3,8841,0.55
FKBP3,2287,YY1,7528,0.984
FOXP1,27086,FOXP2,93986,0.952
FOXO1,2308,PPARG,5468,0.966
MDFI,4188,NR1H2,7376,0.595
TGM2,7052,PLCD1,5333,0.895
NR3C1,2908,DDX54,79039,0.951
HLA-C,3107,B2M,567,0.909
CASP3,836,SREBF2,6721,0.984
LSM7,51690,LSM5,23658,0.967
TTF2,8458,CDC5L,988,0.984
FZD5,7855,LRP6,4040,0.996
CDK9,1025,NFKB1,4790,0.966
COL13A1,1305,FN1,2335,0.883
MAPK7,5598,ETS1,2113,0.936
LCK,3932,ITK,3702,0.951
PRKAR1A,5573,PRPF40A,55660,0.901
OPRK1,4986,GABARAPL1,23710,0.993
PRKCD,5580,MBP,4155,0.778
CCND1,595,RBX1,9978,0.936
DAP3,7818,PPARA,5465,0.994
PPBP,5473,STRN4,29888,0.862
YY1,7528,YAF2,10138,0.55
